url,count
https://edition.cnn.com/sitemaps/article-2012-03.xml,299
https://edition.cnn.com/sitemaps/article-2012-04.xml,291
https://edition.cnn.com/sitemaps/article-2012-07.xml,214
https://edition.cnn.com/sitemaps/article-2012-06.xml,270
https://edition.cnn.com/sitemaps/article-2012-05.xml,295
https://edition.cnn.com/sitemaps/article-2012-08.xml,198
https://edition.cnn.com/sitemaps/article-2012-09.xml,207
https://edition.cnn.com/sitemaps/article-2012-10.xml,240
https://edition.cnn.com/sitemaps/article-2012-11.xml,198
https://edition.cnn.com/sitemaps/article-2011-02.xml,0
https://edition.cnn.com/sitemaps/article-2011-03.xml,0
https://edition.cnn.com/sitemaps/article-2011-01.xml,0
https://edition.cnn.com/sitemaps/article-2012-12.xml,173
https://edition.cnn.com/sitemaps/article-2011-04.xml,0
https://edition.cnn.com/sitemaps/article-2011-05.xml,0
https://edition.cnn.com/sitemaps/article-2011-06.xml,0
https://edition.cnn.com/sitemaps/article-2011-07.xml,0
https://edition.cnn.com/sitemaps/article-2011-08.xml,1
https://edition.cnn.com/sitemaps/article-2010-01.xml,0
https://edition.cnn.com/sitemaps/article-2010-02.xml,0
https://edition.cnn.com/sitemaps/article-2010-03.xml,0
https://edition.cnn.com/sitemaps/article-2011-12.xml,256
https://edition.cnn.com/sitemaps/article-2010-04.xml,0
https://edition.cnn.com/sitemaps/article-2011-10.xml,262
https://edition.cnn.com/sitemaps/article-2011-09.xml,147
https://edition.cnn.com/sitemaps/article-2011-11.xml,301
https://edition.cnn.com/sitemaps/article-2010-06.xml,0
https://edition.cnn.com/sitemaps/article-2010-05.xml,0
https://edition.cnn.com/sitemaps/article-2010-07.xml,0
https://edition.cnn.com/sitemaps/article-2010-08.xml,0
https://edition.cnn.com/sitemaps/article-2010-09.xml,0
https://edition.cnn.com/sitemaps/article-2010-11.xml,0
https://edition.cnn.com/sitemaps/article-2010-12.xml,0
https://edition.cnn.com/sitemaps/article-2010-10.xml,0
